Fecha,Producto,Cantidad,Precio Unitario,Total Venta,Meses
2023-03-06,Juguetes,2,30,60,Marzo
2023-07-31,Ropa,2,50,100,Julio
2023-06-28,Libros,8,20,160,Junio
2023-01-12,Electrónic,4,200,800,Enero
2023-09-15,Juguetes,6,30,180,Septiembre
2023-12-03,Ropa,6,50,300,Diciembre
2023-06-15,Electrónic,5,200,1000,Junio
2023-12-09,Electrónic,4,200,800,Diciembre
2023-05-03,Alimentos,8,10,80,Mayo
2023-07-02,Juguetes,4,30,120,Julio
2023-12-18,Libros,5,20,100,Diciembre
2023-08-06,Electrónic,6,200,1200,Agosto
2023-06-15,Alimentos,10,10,100,Junio
2023-08-25,Juguetes,1,30,30,Agosto
2023-08-11,Juguetes,1,30,30,Agosto
2023-01-30,Electrónic,10,200,2000,Enero
2023-06-05,Electrónic,6,200,1200,Junio
2023-06-12,Electrónic,1,200,200,Junio
2023-04-26,Electrónic,7,200,1400,Abril
2023-07-09,Ropa,7,50,350,Julio
2023-07-30,Ropa,5,50,250,Julio
2023-10-19,Libros,5,20,100,Octubre
2023-11-09,Juguetes,7,30,210,Noviembre
2023-11-13,Electrónic,9,200,1800,Noviembre
2023-07-14,Electrónic,8,200,1600,Julio
2023-01-02,Electrónic,5,200,1000,Enero
2023-05-20,Juguetes,3,30,90,Mayo
2023-01-05,Alimentos,8,10,80,Enero
2023-01-02,Libros,10,20,200,Enero
2023-12-24,Ropa,8,50,400,Diciembre
2023-02-24,Juguetes,1,30,30,Febrero
2023-08-12,Libros,2,20,40,Agosto
2023-01-21,Ropa,3,50,150,Enero
2023-01-09,Alimentos,9,10,90,Enero
2023-07-30,Juguetes,1,30,30,Julio
2023-07-20,Electrónic,9,200,1800,Julio
2023-03-05,Alimentos,2,10,20,Marzo
2023-08-09,Juguetes,2,30,60,Agosto
2023-12-11,Alimentos,6,10,60,Diciembre
2023-05-22,Libros,1,20,20,Mayo
2023-07-22,Electrónic,5,200,1000,Julio
2023-06-03,Libros,1,20,20,Junio
2023-09-02,Juguetes,5,30,150,Septiembre
2023-08-12,Alimentos,10,10,100,Agosto
2023-07-14,Ropa,10,50,500,Julio
2023-10-12,Alimentos,3,10,30,Octubre
2023-05-25,Libros,9,20,180,Mayo
2023-09-15,Libros,3,20,60,Septiembre
2023-01-18,Ropa,10,50,500,Enero
2023-01-25,Ropa,10,50,500,Enero
2023-09-07,Electrónic,7,200,1400,Septiembre
2023-02-07,Electrónic,4,200,800,Febrero
2023-10-26,Ropa,3,50,150,Octubre
2023-04-14,Libros,8,20,160,Abril
2023-03-05,Alimentos,5,10,50,Marzo
2023-12-15,Juguetes,7,30,210,Diciembre
2023-09-14,Juguetes,3,30,90,Septiembre
2023-10-12,Juguetes,1,30,30,Octubre
2023-07-18,Alimentos,7,10,70,Julio
2023-07-27,Juguetes,2,30,60,Julio
2023-05-25,Electrónic,6,200,1200,Mayo
2023-10-03,Electrónic,6,200,1200,Octubre
2023-11-27,Libros,3,20,60,Noviembre
2023-06-24,Libros,10,20,200,Junio
2023-03-05,Juguetes,3,30,90,Marzo
2023-06-29,Ropa,3,50,150,Junio
2023-02-24,Libros,4,20,80,Febrero
2023-01-30,Electrónic,3,200,600,Enero
2023-10-04,Juguetes,2,30,60,Octubre
2023-10-06,Ropa,3,50,150,Octubre
2023-06-24,Electrónic,7,200,1400,Junio
2023-04-20,Ropa,7,50,350,Abril
2023-03-10,Electrónic,2,200,400,Marzo
2023-01-05,Ropa,3,50,150,Enero
2023-05-29,Juguetes,7,30,210,Mayo
2023-08-08,Juguetes,1,30,30,Agosto
2023-08-09,Juguetes,9,30,270,Agosto
2023-12-18,Ropa,1,50,50,Diciembre
2023-09-17,Alimentos,7,10,70,Septiembre
2023-02-05,Alimentos,5,10,50,Febrero
2023-10-24,Alimentos,7,10,70,Octubre
2023-10-17,Electrónic,3,200,600,Octubre
2023-12-28,Ropa,5,50,250,Diciembre
2023-11-05,Electrónic,7,200,1400,Noviembre
2023-07-08,Juguetes,5,30,150,Julio
2023-01-31,Ropa,1,50,50,Enero
2023-07-17,Alimentos,5,10,50,Julio
2023-08-13,Alimentos,7,10,70,Agosto
2023-10-05,Juguetes,4,30,120,Octubre
2023-10-08,Ropa,8,50,400,Octubre
2023-07-13,Juguetes,2,30,60,Julio
2023-01-14,Alimentos,10,10,100,Enero
2023-03-19,Electrónic,6,200,1200,Marzo
2023-06-01,Alimentos,2,10,20,Junio
2023-03-17,Ropa,1,50,50,Marzo
2023-01-10,Juguetes,5,30,150,Enero
2023-11-21,Juguetes,9,30,270,Noviembre
2023-12-14,Juguetes,1,30,30,Diciembre
2023-05-19,Libros,8,20,160,Mayo
2023-02-26,Electrónic,4,200,800,Febrero
2023-06-09,Libros,2,20,40,Junio
2023-01-07,Libros,2,20,40,Enero
2023-10-04,Libros,1,20,20,Octubre
2023-04-15,Alimentos,10,10,100,Abril
2023-10-02,Juguetes,10,30,300,Octubre
2023-07-01,Alimentos,8,10,80,Julio
2023-12-27,Ropa,8,50,400,Diciembre
2023-10-24,Ropa,10,50,500,Octubre
2023-01-22,Electrónic,4,200,800,Enero
2023-02-03,Alimentos,4,10,40,Febrero
2023-09-23,Libros,8,20,160,Septiembre
2023-05-28,Juguetes,5,30,150,Mayo
2023-08-19,Alimentos,8,10,80,Agosto
2023-11-22,Alimentos,7,10,70,Noviembre
2023-12-23,Ropa,1,50,50,Diciembre
2023-12-12,Juguetes,7,30,210,Diciembre
2023-06-29,Alimentos,10,10,100,Junio
2023-06-27,Juguetes,10,30,300,Junio
2023-11-26,Libros,8,20,160,Noviembre
2023-06-22,Juguetes,3,30,90,Junio
2023-05-17,Juguetes,7,30,210,Mayo
2023-07-23,Ropa,9,50,450,Julio
2023-08-29,Electrónic,3,200,600,Agosto
2023-05-21,Alimentos,6,10,60,Mayo
2023-07-31,Ropa,5,50,250,Julio
2023-03-05,Ropa,1,50,50,Marzo
2023-10-26,Juguetes,1,30,30,Octubre
2023-04-10,Alimentos,5,10,50,Abril
2023-01-26,Electrónic,10,200,2000,Enero
2023-12-13,Ropa,10,50,500,Diciembre
2023-01-19,Electrónic,10,200,2000,Enero
2023-07-09,Electrónic,3,200,600,Julio
2023-10-01,Alimentos,2,10,20,Octubre
2023-08-19,Electrónic,8,200,1600,Agosto
2023-07-03,Alimentos,2,10,20,Julio
2023-08-19,Electrónic,2,200,400,Agosto
2023-08-01,Libros,3,20,60,Agosto
2023-04-03,Alimentos,1,10,10,Abril
2023-07-08,Ropa,8,50,400,Julio
2023-08-27,Electrónic,2,200,400,Agosto
2023-02-11,Libros,3,20,60,Febrero
2023-11-19,Juguetes,2,30,60,Noviembre
2023-01-06,Libros,1,20,20,Enero
2023-05-30,Electrónic,5,200,1000,Mayo
2023-07-12,Juguetes,3,30,90,Julio
2023-06-26,Electrónic,4,200,800,Junio
2023-12-01,Ropa,7,50,350,Diciembre
2023-04-21,Electrónic,5,200,1000,Abril
2023-12-02,Electrónic,6,200,1200,Diciembre
2023-05-14,Juguetes,8,30,240,Mayo
2023-01-02,Libros,6,20,120,Enero
2023-04-27,Electrónic,3,200,600,Abril
2023-09-07,Libros,9,20,180,Septiembre
2023-08-03,Electrónic,6,200,1200,Agosto
2023-03-06,Ropa,2,50,100,Marzo
2023-07-04,Electrónic,3,200,600,Julio
2023-09-20,Juguetes,3,30,90,Septiembre
2023-09-26,Alimentos,10,10,100,Septiembre
2023-11-09,Ropa,1,50,50,Noviembre
2023-07-08,Ropa,3,50,150,Julio
2023-09-14,Electrónic,1,200,200,Septiembre
2023-07-05,Juguetes,4,30,120,Julio
2023-11-05,Libros,6,20,120,Noviembre
2023-07-14,Alimentos,6,10,60,Julio
2023-08-17,Libros,4,20,80,Agosto
2023-12-06,Electrónic,9,200,1800,Diciembre
2023-06-02,Libros,8,20,160,Junio
2023-02-28,Electrónic,5,200,1000,Febrero
2023-04-24,Libros,10,20,200,Abril
2023-09-04,Libros,5,20,100,Septiembre
2023-10-05,Alimentos,7,10,70,Octubre
2023-01-05,Ropa,1,50,50,Enero
2023-03-01,Electrónic,4,200,800,Marzo
2023-08-09,Electrónic,8,200,1600,Agosto
2023-09-01,Ropa,7,50,350,Septiembre
2023-07-12,Alimentos,7,10,70,Julio
2023-07-12,Ropa,6,50,300,Julio
2023-01-15,Ropa,6,50,300,Enero
2023-12-06,Juguetes,1,30,30,Diciembre
2023-10-24,Juguetes,10,30,300,Octubre
2023-05-01,Alimentos,2,10,20,Mayo
2023-11-21,Libros,8,20,160,Noviembre
2023-03-06,Ropa,4,50,200,Marzo
2023-04-08,Juguetes,9,30,270,Abril
2023-04-19,Juguetes,9,30,270,Abril
2023-04-30,Electrónic,7,200,1400,Abril
2023-01-27,Libros,1,20,20,Enero
2023-03-30,Libros,5,20,100,Marzo
2023-10-23,Libros,3,20,60,Octubre
2023-10-26,Ropa,3,50,150,Octubre
2023-03-11,Juguetes,1,30,30,Marzo
2023-04-04,Juguetes,5,30,150,Abril
2023-12-19,Juguetes,9,30,270,Diciembre
2023-05-01,Libros,2,20,40,Mayo
2023-12-23,Electrónic,4,200,800,Diciembre
2023-08-22,Libros,2,20,40,Agosto
2023-01-09,Ropa,9,50,450,Enero
2023-09-18,Ropa,10,50,500,Septiembre
2023-07-28,Libros,2,20,40,Julio
2023-07-26,Electrónic,7,200,1400,Julio
2023-10-29,Libros,4,20,80,Octubre
2023-11-04,Juguetes,8,30,240,Noviembre
2023-07-14,Alimentos,4,10,40,Julio
2023-08-09,Libros,8,20,160,Agosto
2023-09-19,Juguetes,4,30,120,Septiembre
2023-02-07,Alimentos,8,10,80,Febrero
2023-03-19,Juguetes,3,30,90,Marzo
2023-09-13,Alimentos,5,10,50,Septiembre
2023-12-27,Libros,4,20,80,Diciembre
2023-04-10,Ropa,5,50,250,Abril
2023-06-30,Electrónic,7,200,1400,Junio
2023-01-31,Electrónic,7,200,1400,Enero
2023-11-29,Alimentos,7,10,70,Noviembre
2023-08-12,Alimentos,6,10,60,Agosto
2023-02-14,Ropa,3,50,150,Febrero
2023-12-02,Juguetes,6,30,180,Diciembre
2023-08-05,Juguetes,10,30,300,Agosto
2023-07-21,Alimentos,5,10,50,Julio
2023-05-22,Libros,10,20,200,Mayo
2023-05-17,Alimentos,1,10,10,Mayo
2023-09-28,Electrónic,6,200,1200,Septiembre
2023-07-20,Electrónic,7,200,1400,Julio
2023-03-16,Electrónic,1,200,200,Marzo
2023-05-08,Electrónic,2,200,400,Mayo
2023-07-21,Ropa,3,50,150,Julio
2023-09-27,Electrónic,8,200,1600,Septiembre
2023-08-24,Electrónic,7,200,1400,Agosto
2023-07-30,Juguetes,7,30,210,Julio
2023-06-27,Libros,7,20,140,Junio
2023-12-14,Juguetes,6,30,180,Diciembre
2023-05-02,Alimentos,3,10,30,Mayo
2023-10-06,Libros,7,20,140,Octubre
2023-12-13,Alimentos,9,10,90,Diciembre
2023-08-10,Ropa,7,50,350,Agosto
2023-09-22,Electrónic,5,200,1000,Septiembre
2023-09-03,Electrónic,7,200,1400,Septiembre
2023-05-04,Electrónic,5,200,1000,Mayo
2023-02-10,Alimentos,3,10,30,Febrero
2023-06-13,Alimentos,1,10,10,Junio
2023-07-27,Electrónic,6,200,1200,Julio
2023-04-08,Libros,1,20,20,Abril
2023-02-07,Alimentos,1,10,10,Febrero
2023-02-23,Alimentos,10,10,100,Febrero
2023-08-20,Libros,9,20,180,Agosto
2023-02-12,Alimentos,8,10,80,Febrero
2023-11-03,Ropa,2,50,100,Noviembre
2023-05-27,Electrónic,10,200,2000,Mayo
2023-04-11,Alimentos,6,10,60,Abril
2023-12-03,Alimentos,5,10,50,Diciembre
2023-12-28,Alimentos,9,10,90,Diciembre
2023-07-21,Ropa,10,50,500,Julio
2023-08-29,Electrónic,6,200,1200,Agosto
2023-12-20,Libros,5,20,100,Diciembre
2023-02-19,Electrónic,4,200,800,Febrero
2023-01-06,Libros,1,20,20,Enero
2023-07-02,Juguetes,3,30,90,Julio
2023-12-03,Alimentos,1,10,10,Diciembre
2023-05-11,Electrónic,7,200,1400,Mayo
2023-03-29,Libros,9,20,180,Marzo
2023-10-29,Juguetes,2,30,60,Octubre
2023-04-23,Juguetes,10,30,300,Abril
2023-07-25,Juguetes,7,30,210,Julio
2023-12-05,Electrónic,9,200,1800,Diciembre
2023-07-10,Alimentos,10,10,100,Julio
2023-11-13,Libros,9,20,180,Noviembre
2023-07-26,Ropa,10,50,500,Julio
2023-08-29,Electrónic,8,200,1600,Agosto
2023-01-11,Libros,8,20,160,Enero
2023-12-20,Juguetes,4,30,120,Diciembre
2023-03-25,Libros,7,20,140,Marzo
2023-03-23,Ropa,8,50,400,Marzo
2023-05-18,Juguetes,5,30,150,Mayo
2023-08-02,Electrónic,2,200,400,Agosto
2023-12-11,Ropa,5,50,250,Diciembre
2023-02-01,Juguetes,9,30,270,Febrero
2023-12-12,Alimentos,10,10,100,Diciembre
2023-02-09,Electrónic,10,200,2000,Febrero
2023-12-24,Libros,8,20,160,Diciembre
2023-09-06,Alimentos,6,10,60,Septiembre
2023-08-28,Ropa,6,50,300,Agosto
2023-01-15,Ropa,2,50,100,Enero
2023-05-04,Ropa,1,50,50,Mayo
2023-06-29,Ropa,4,50,200,Junio
2023-04-29,Libros,6,20,120,Abril
2023-10-28,Alimentos,10,10,100,Octubre
2023-01-30,Juguetes,10,30,300,Enero
2023-02-19,Alimentos,4,10,40,Febrero
2023-02-01,Electrónic,10,200,2000,Febrero
2023-09-04,Ropa,1,50,50,Septiembre
2023-06-29,Alimentos,10,10,100,Junio
2023-04-29,Alimentos,8,10,80,Abril
2023-11-11,Alimentos,1,10,10,Noviembre
2023-04-03,Ropa,7,50,350,Abril
2023-12-13,Juguetes,8,30,240,Diciembre
2023-07-11,Alimentos,10,10,100,Julio
2023-07-01,Electrónic,1,200,200,Julio
2023-04-01,Ropa,7,50,350,Abril
2023-06-30,Ropa,1,50,50,Junio
2023-01-27,Ropa,7,50,350,Enero
2023-11-26,Juguetes,8,30,240,Noviembre
2023-08-17,Alimentos,5,10,50,Agosto
2023-11-03,Alimentos,9,10,90,Noviembre
2023-01-01,Alimentos,3,10,30,Enero
2023-07-20,Alimentos,4,10,40,Julio
2023-04-21,Electrónic,7,200,1400,Abril
2023-08-10,Libros,9,20,180,Agosto
2023-06-18,Alimentos,9,10,90,Junio
2023-07-16,Electrónic,9,200,1800,Julio
2023-01-19,Libros,7,20,140,Enero
2023-05-15,Alimentos,6,10,60,Mayo
2023-08-02,Electrónic,1,200,200,Agosto
2023-10-12,Juguetes,1,30,30,Octubre
2023-08-05,Electrónic,4,200,800,Agosto
2023-05-13,Electrónic,7,200,1400,Mayo
2023-09-11,Electrónic,7,200,1400,Septiembre
2023-12-20,Juguetes,2,30,60,Diciembre
2023-11-12,Libros,1,20,20,Noviembre
2023-09-05,Alimentos,1,10,10,Septiembre
2023-11-29,Juguetes,3,30,90,Noviembre
2023-09-30,Electrónic,9,200,1800,Septiembre
2023-09-27,Libros,7,20,140,Septiembre
2023-11-27,Alimentos,1,10,10,Noviembre
2023-06-28,Libros,6,20,120,Junio
2023-12-09,Juguetes,5,30,150,Diciembre
2023-11-26,Libros,7,20,140,Noviembre
2023-10-08,Electrónic,7,200,1400,Octubre
2023-06-04,Libros,3,20,60,Junio
2023-03-09,Ropa,1,50,50,Marzo
2023-07-10,Libros,6,20,120,Julio
2023-05-14,Libros,5,20,100,Mayo
2023-08-30,Libros,5,20,100,Agosto
2023-02-27,Ropa,10,50,500,Febrero
2023-11-26,Libros,6,20,120,Noviembre
2023-03-13,Ropa,6,50,300,Marzo
2023-06-11,Alimentos,9,10,90,Junio
2023-05-18,Electrónic,3,200,600,Mayo
2023-01-09,Ropa,9,50,450,Enero
2023-01-04,Ropa,5,50,250,Enero
2023-05-05,Ropa,5,50,250,Mayo
2023-04-22,Libros,7,20,140,Abril
2023-04-02,Juguetes,9,30,270,Abril
2023-04-17,Juguetes,8,30,240,Abril
2023-03-06,Ropa,7,50,350,Marzo
2023-09-26,Juguetes,7,30,210,Septiembre
2023-03-23,Alimentos,5,10,50,Marzo
2023-02-03,Electrónic,10,200,2000,Febrero
2023-04-09,Juguetes,8,30,240,Abril
2023-10-05,Alimentos,10,10,100,Octubre
2023-10-26,Libros,4,20,80,Octubre
2023-03-31,Alimentos,6,10,60,Marzo
2023-10-26,Alimentos,8,10,80,Octubre
2023-05-08,Electrónic,6,200,1200,Mayo
2023-10-21,Libros,2,20,40,Octubre
2023-03-21,Electrónic,3,200,600,Marzo
2023-12-30,Electrónic,3,200,600,Diciembre
2023-03-18,Alimentos,1,10,10,Marzo
2023-05-19,Electrónic,7,200,1400,Mayo
2023-06-24,Alimentos,9,10,90,Junio
2023-07-20,Electrónic,3,200,600,Julio
2023-08-01,Electrónic,4,200,800,Agosto
2023-05-17,Ropa,6,50,300,Mayo
2023-08-22,Electrónic,10,200,2000,Agosto
2023-07-07,Alimentos,7,10,70,Julio
2023-03-26,Libros,6,20,120,Marzo
2023-05-18,Juguetes,4,30,120,Mayo
2023-11-05,Alimentos,6,10,60,Noviembre
2023-08-24,Juguetes,6,30,180,Agosto
2023-12-12,Electrónic,2,200,400,Diciembre
2023-02-17,Alimentos,9,10,90,Febrero
2023-07-28,Alimentos,10,10,100,Julio
2023-04-20,Juguetes,1,30,30,Abril
2023-08-08,Ropa,2,50,100,Agosto
2023-05-27,Libros,10,20,200,Mayo
2023-10-09,Alimentos,4,10,40,Octubre
2023-11-09,Libros,5,20,100,Noviembre
2023-12-13,Ropa,6,50,300,Diciembre
2023-08-12,Ropa,8,50,400,Agosto
2023-03-22,Juguetes,9,30,270,Marzo
2023-09-08,Alimentos,7,10,70,Septiembre
2023-03-28,Juguetes,8,30,240,Marzo
2023-08-01,Ropa,10,50,500,Agosto
2023-09-07,Alimentos,10,10,100,Septiembre
2023-09-18,Ropa,10,50,500,Septiembre
2023-11-30,Alimentos,1,10,10,Noviembre
2023-08-14,Electrónic,10,200,2000,Agosto
2023-09-27,Electrónic,3,200,600,Septiembre
2023-07-17,Juguetes,8,30,240,Julio
2023-05-01,Juguetes,3,30,90,Mayo
2023-04-27,Ropa,2,50,100,Abril
2023-06-30,Juguetes,3,30,90,Junio
2023-06-19,Electrónic,9,200,1800,Junio
2023-10-23,Juguetes,9,30,270,Octubre
2023-03-21,Alimentos,10,10,100,Marzo
2023-10-31,Juguetes,9,30,270,Octubre
2023-10-01,Libros,6,20,120,Octubre
2023-02-26,Electrónic,2,200,400,Febrero
2023-01-15,Libros,9,20,180,Enero
2023-09-29,Juguetes,3,30,90,Septiembre
2023-09-23,Ropa,8,50,400,Septiembre
2023-03-07,Juguetes,7,30,210,Marzo
2023-05-13,Alimentos,2,10,20,Mayo
2023-05-08,Electrónic,9,200,1800,Mayo
2023-10-26,Juguetes,7,30,210,Octubre
2023-11-02,Libros,6,20,120,Noviembre
2023-03-01,Ropa,4,50,200,Marzo
2023-04-02,Ropa,10,50,500,Abril
2023-01-23,Electrónic,4,200,800,Enero
2023-02-18,Electrónic,2,200,400,Febrero
2023-05-14,Electrónic,8,200,1600,Mayo
2023-05-26,Alimentos,3,10,30,Mayo
2023-06-27,Electrónic,9,200,1800,Junio
2023-03-24,Juguetes,6,30,180,Marzo
2023-09-05,Libros,3,20,60,Septiembre
2023-11-23,Alimentos,4,10,40,Noviembre
2023-06-08,Ropa,10,50,500,Junio
2023-03-01,Libros,7,20,140,Marzo
2023-04-26,Electrónic,3,200,600,Abril
2023-12-17,Electrónic,6,200,1200,Diciembre
2023-08-28,Libros,6,20,120,Agosto
2023-12-22,Ropa,4,50,200,Diciembre
2023-12-14,Juguetes,6,30,180,Diciembre
2023-10-05,Electrónic,2,200,400,Octubre
2023-04-25,Electrónic,7,200,1400,Abril
2023-02-10,Libros,10,20,200,Febrero
2023-10-31,Alimentos,6,10,60,Octubre
2023-10-07,Alimentos,9,10,90,Octubre
2023-04-10,Alimentos,8,10,80,Abril
2023-08-10,Ropa,5,50,250,Agosto
2023-05-15,Juguetes,10,30,300,Mayo
2023-09-06,Juguetes,3,30,90,Septiembre
2023-11-13,Alimentos,5,10,50,Noviembre
2023-03-30,Electrónic,1,200,200,Marzo
2023-05-14,Electrónic,1,200,200,Mayo
2023-05-27,Alimentos,1,10,10,Mayo
2023-12-09,Electrónic,7,200,1400,Diciembre
2023-12-07,Juguetes,6,30,180,Diciembre
2023-01-12,Libros,3,20,60,Enero
2023-03-30,Ropa,6,50,300,Marzo
2023-12-25,Electrónic,1,200,200,Diciembre
2023-08-08,Ropa,5,50,250,Agosto
2023-12-04,Alimentos,3,10,30,Diciembre
2023-01-25,Electrónic,2,200,400,Enero
2023-05-14,Electrónic,6,200,1200,Mayo
2023-05-21,Electrónic,3,200,600,Mayo
2023-04-12,Alimentos,3,10,30,Abril
2023-10-19,Electrónic,10,200,2000,Octubre
2023-08-11,Electrónic,5,200,1000,Agosto
2023-09-05,Juguetes,1,30,30,Septiembre
2023-05-29,Alimentos,7,10,70,Mayo
2023-12-02,Alimentos,3,10,30,Diciembre
2023-09-10,Libros,3,20,60,Septiembre
2023-06-04,Juguetes,5,30,150,Junio
2023-09-07,Ropa,3,50,150,Septiembre
2023-04-11,Alimentos,3,10,30,Abril
2023-04-20,Juguetes,8,30,240,Abril
2023-03-24,Libros,10,20,200,Marzo
2023-10-29,Alimentos,8,10,80,Octubre
2023-11-08,Juguetes,10,30,300,Noviembre
2023-10-21,Electrónic,10,200,2000,Octubre
2023-09-19,Electrónic,9,200,1800,Septiembre
2023-09-12,Electrónic,2,200,400,Septiembre
2023-08-29,Electrónic,2,200,400,Agosto
2023-01-24,Electrónic,5,200,1000,Enero
2023-02-18,Libros,7,20,140,Febrero
2023-08-30,Ropa,10,50,500,Agosto
2023-09-24,Electrónic,1,200,200,Septiembre
2023-06-11,Electrónic,7,200,1400,Junio
2023-09-22,Libros,3,20,60,Septiembre
2023-08-09,Alimentos,4,10,40,Agosto
2023-10-14,Ropa,2,50,100,Octubre
2023-05-03,Electrónic,5,200,1000,Mayo
2023-09-20,Electrónic,1,200,200,Septiembre
2023-03-08,Electrónic,1,200,200,Marzo
2023-06-05,Juguetes,6,30,180,Junio
2023-11-20,Electrónic,5,200,1000,Noviembre
2023-06-25,Electrónic,10,200,2000,Junio
2023-12-31,Electrónic,8,200,1600,Diciembre
2023-12-08,Electrónic,8,200,1600,Diciembre
2023-03-20,Ropa,3,50,150,Marzo
2023-07-20,Juguetes,7,30,210,Julio
2023-02-28,Electrónic,6,200,1200,Febrero
2023-01-08,Electrónic,10,200,2000,Enero
2023-05-26,Alimentos,8,10,80,Mayo
2023-05-25,Electrónic,5,200,1000,Mayo
2023-01-19,Ropa,7,50,350,Enero
2023-07-08,Libros,1,20,20,Julio
2023-04-24,Ropa,7,50,350,Abril
2023-06-17,Ropa,9,50,450,Junio
2023-07-22,Libros,5,20,100,Julio
2023-03-29,Libros,8,20,160,Marzo
2023-02-26,Electrónic,1,200,200,Febrero
2023-02-16,Electrónic,1,200,200,Febrero
2023-06-04,Juguetes,8,30,240,Junio
2023-10-08,Ropa,3,50,150,Octubre
2023-03-26,Ropa,10,50,500,Marzo
2023-09-07,Libros,5,20,100,Septiembre
2023-01-31,Alimentos,8,10,80,Enero
2023-01-12,Juguetes,9,30,270,Enero
2023-12-15,Electrónic,9,200,1800,Diciembre
2023-03-28,Libros,6,20,120,Marzo
2023-06-21,Electrónic,7,200,1400,Junio
2023-07-02,Electrónic,3,200,600,Julio
2023-08-25,Ropa,9,50,450,Agosto
2023-04-01,Alimentos,5,10,50,Abril
2023-12-21,Electrónic,4,200,800,Diciembre
2023-04-05,Libros,5,20,100,Abril
2023-04-04,Electrónic,2,200,400,Abril
2023-08-07,Juguetes,4,30,120,Agosto
2023-04-05,Juguetes,2,30,60,Abril
2023-02-05,Electrónic,6,200,1200,Febrero
2023-03-15,Ropa,4,50,200,Marzo
2023-01-12,Electrónic,10,200,2000,Enero
2023-10-18,Juguetes,2,30,60,Octubre
2023-01-27,Ropa,3,50,150,Enero
2023-06-15,Libros,10,20,200,Junio
2023-06-18,Ropa,2,50,100,Junio
2023-01-07,Libros,2,20,40,Enero
2023-10-07,Electrónic,8,200,1600,Octubre
2023-06-27,Alimentos,1,10,10,Junio
2023-03-09,Electrónic,7,200,1400,Marzo
